JST時刻,raw_pulse_rpm,display_rpm,速度_kmh,緯度,経度,UTC時刻
2026-05-29 13:42:36.68,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.79,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.892,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.983,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.088,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.186,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.29,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.377,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.481,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.582,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.684,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.786,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.915,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.977,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.082,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.184,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.288,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.389,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.476,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.58,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.683,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.793,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.894,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.995,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.074,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.185,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.317,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.373,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.478,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.578,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.672,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.774,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.884,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.048,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.073,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.174,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.276,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.379,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.483,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.584,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.691,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.781,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.883,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.988,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.077,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.193,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.294,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.383,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.491,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.594,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.675,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.774,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.888,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.992,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.081,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.177,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.282,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.383,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.48,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.581,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.683,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.784,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.883,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.984,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.088,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.189,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.291,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.384,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.491,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.583,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.686,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.787,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.892,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.976,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.078,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.179,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.294,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.386,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.49,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.591,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.684,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.772,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.874,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:45.058,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:45.074,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:45.177,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:45.292,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:45.394,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:45.474,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:45.574,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:45.675,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:45.776,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:45.875,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:45.983,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:46.091,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:46.172,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:46.284,0,0,0.0,0.000000,0.000000,00:00:00
